accountsservice 0.6.55-1
acpi 1.7-2
acpid 2.0.32-1
adapta-gtk-theme 3.95.0.11-1
alex 3.2.5-6
alsa-oss 1.1.8-3
alsa-plugins 1.2.2-1
alsa-tools 1.2.2-1
alsa-utils 1.2.2-1
android-tools 29.0.6-1
android-udev 20200410-1
arandr 0.1.10-4
arc-gtk-theme 20190917-1
audacity 1:2.3.3-2
audio-convert 0.3.1.1-8.par1
aurman-git 2.19.1.r0.g8c515f0-1
autoconf 2.69-7
automake 1.16.2-1
baobab 3.34.0-1
bash 5.0.016-1
bat 0.13.0-1
bc 1.07.1-4
bdf-unifont 12.1.04-1
biber 1:2.13-1
binutils 2.34-2
bison 3.5.4-1
boost 1.72.0-1
breeze-gtk 5.18.4.1-1
bzip2 1.0.8-3
cabal-install 3.0.0.0-81
choqok 1.7.0-2
cloc 1.84-1
clutter-gtk 1.8.4-1
cmake 3.17.1-2
cmatrix 2.0-1
colordiff 1.0.18-2
compton-conf 0.14.1-1
compton-tryone-git 0.1_beta2.95.g241bbc5-1
coreutils 8.32-1
cowsay 3.03-9.parabola1
cpio 2.13-1
cpupower 5.6.1_gnu-1
cryptsetup 2.3.1-1
ctags 1:r20200106+ga3c87ab5-1
cups 2.3.1-1
cups-pdf 3.0.1-4
device-mapper 2.02.187-1
dfc 3.1.1-1
dhclient 4.4.2-2
dhcpcd 9.0.1-2
dialog 1:1.3_20200327-1
diffutils 3.7-3
dmenu 4.9-1
docker 1:19.03.8-2
docker-compose 1.25.5-1
docker-machine 0.16.2-3
downgrade 6.2.5-1
dunst 1.4.1-1
e2fsprogs 1.45.6-1
emacs 26.3-1
erlang 22.2.7-1
evince 3.36.0-1
exa 0.9.0-1
exfat-utils 1.3.0-1
expac 10-1
faenza-icon-theme 1.3.1-5.par1
fakeroot 1.24-2
fd 8.0.0-1
feh 3.4-1
file 5.38-3
filesystem 2019.10-2.parabola1
findutils 4.7.0-2
flex 2.6.4-3
foomatic-db 3:20200404-1
fortune-mod 2.12.0-1
fprintd 1.90.1-1
freetube-bin 0.7.2-1
fzf 0.21.1-1
gawk 5.0.1-2
gcc 9.3.0-1
gcc-ada 9.3.0-1
gcc-fortran 9.3.0-1
gcc-libs 9.3.0-1
gdb 9.1-2
gettext 0.20.1-3
ghc 8.8.3-2
ghc-static 8.8.3-2
gimp 2.10.18-5
git 2.26.2-1
git-annex 8.20200330-17
glibc 2.31-2
glpk 4.65-2
gnome-font-viewer 3.34.0+27+g5ffd1ba-1
gnome-themes-extra 3.28-1
gnu-free-fonts 20120503-7
gnu-netcat 0.7.1-7
gnuplot 5.2.8-1
go 2:1.14.2-1
gotags-git 1:1.4.1.6.g7de7045-1
gpart 0.3-3
gparted 1.1.0-1
grep 3.4-1
grub 2:2.04-2.par1
gst-libav 1.16.2-1
gst-plugins-good 1.16.2-3
gtk-chtheme 0.3.1-9
gtk-engine-aurora 1.5.1-8
gtk-engine-equinox 1.50-3.1
gtk-engine-murrine 0.98.2-3
gtk-engines 2.21.0-4
gucharmap 13.0.0-1
gvim 8.2.0510-1
gzip 1.10-3
happy 1.19.12-5
hardcode-tray-git 4.3.r18.ga400575-1
haskell-ide-engine 1.3-2
haskell-ide-engine-debug 1.2-1
hasktags 0.71.2-68
hddtemp 0.3.beta15.53-2
heimdall 1.4.2-2
hplip 1:3.20.3-2.par1
hplip-plugin 3.20.3-2
htop 2.2.0-3
httpie 2.1.0-1
hugo 0.69.0-1
icecast 2.4.4-1
icecat 60.7.0_gnu1-1
